image,cell_type,model,n_mito,mean_area,median_area,std_area,mean_solidity,median_solidity,std_solidity,mean_extent,median_extent,std_extent,mean_major_axis,median_major_axis,std_major_axis,mean_minor_axis,median_minor_axis,std_minor_axis,mean_aspect_ratio,median_aspect_ratio,std_aspect_ratio,mean_thickness,median_thickness,std_thickness,mean_inertia_min,median_inertia_min,std_inertia_min,mean_inertia_mid,median_inertia_mid,std_inertia_mid,mean_inertia_max,median_inertia_max,std_inertia_max,mean_eccentricity,median_eccentricity,std_eccentricity,mean_perimeter,median_perimeter,std_perimeter,mean_form_factor,median_form_factor,std_form_factor,mean_roundness,median_roundness,std_roundness,mean_skel_length,median_skel_length,std_skel_length,mean_n_branch_points,median_n_branch_points,std_n_branch_points,mean_n_branches,median_n_branches,std_n_branches,mean_tortuosity,median_tortuosity,std_tortuosity,mean_total_branch_length,median_total_branch_length,std_total_branch_length,mean_mean_branch_length,median_mean_branch_length,std_mean_branch_length,mean_median_branch_length,median_median_branch_length,std_median_branch_length,mean_std_branch_length,median_std_branch_length,std_std_branch_length
Series005-_H20,HELA,physegt_clsm_p3,229.0,392.10917030567686,261.0,413.45376845486606,0.7327850344526041,0.7273706896551724,0.0887716887087635,0.4904019078201397,0.4949784791965567,0.1074522478494073,29.142111149694493,25.58611130835369,15.376882402038843,16.691169740030418,15.200318105904076,9.546423498347544,1.9100628435615477,1.6942316730127391,0.8049509670562843,2.3823257608694552,2.1206921073035225,1.008295510815759,23.10808430626933,14.440604407542205,26.805382485281356,67.856947166705,40.91556824271653,72.02608730983965,67.856947166705,40.91556824271653,72.02608730983965,0.7769489304955091,0.8072292385591374,0.1453534067091537,110.28402134138186,93.5035713374682,78.33096952070662,2.853185027006737,2.5837555065010047,1.3713631555120545,0.4860723866693425,0.4909362821515303,0.1649633602777843,64.00436681222708,48.0,53.67193714434153,2.393013100436681,2.0,1.8604465127766008,26.812227074235807,19.0,21.51417992475893,1.949177599318708,1.804012021541066,0.8318723659738785,161.45633175123655,116.0,131.6022120553959,6.304420737666086,5.931034482758621,5.064357887147783,5.622270615865357,5.0,5.117003065560186,1.5568982675375085,1.4374722712498649,0.7783802083201894
Series011-_H17,HELA,physegt_clsm_p3,178.0,386.30898876404495,192.5,489.0727181381796,0.7256011372585349,0.7280431432973806,0.0863046138218143,0.4983731121234625,0.5,0.0986493724613651,27.62868923219505,23.52664220992408,16.607246779185576,16.34569196072385,13.41552875640367,10.133570118430336,1.7827876472875566,1.6365627361331971,0.5597541573121741,2.2861761715976665,1.9882960079726604,1.080009746051373,23.116930563751037,11.248578525861674,29.71500556518509,64.94656964212378,34.59412956874003,84.77074511714318,64.94656964212378,34.59412956874003,84.77074511714318,0.7619499406242188,0.7916019082599945,0.1434506321495766,107.57179733558498,79.94722215136416,85.92339011524699,2.877511726785771,2.6201731341208307,1.4013384870875802,0.4970837929576261,0.4967943814794178,0.1569819560999286,62.331460674157306,40.5,59.71709727419104,2.3707865168539324,2.0,2.0926947439852754,25.915730337078653,17.5,23.23013056441228,1.9576458221601265,1.8339359740330208,0.8367524264963505,156.2714643182845,100.0,143.4526415481842,6.792007252181808,5.857142857142857,8.713159093460282,6.1282058913182,5.0,8.78414095093299,1.4706706027591243,1.3013968660408748,0.7813318916598255
Series016_H18,HELA,physegt_clsm_p3,152.0,498.6118421052632,212.5,712.9001466336579,0.7373430529711431,0.7433035714285714,0.0871869157014418,0.5057651423910553,0.5112058080808081,0.093121449537969,29.42030383523437,23.87167683990318,19.388405562527083,18.00985157528221,14.1840524853934,12.450401413052562,1.742218438910346,1.6738382611863685,0.4575372851600046,2.5344095084123293,2.033141465266897,1.402799381303305,29.96045306936476,12.574414533440669,42.26865820992662,77.5915342509086,35.62210189707859,121.18141798696388,77.5915342509086,35.62210189707859,121.18141798696388,0.769129061149685,0.8019211940267259,0.1295281047485035,116.09098968469053,84.18986283848344,101.7647353939118,2.7285161144151155,2.384319657821877,1.2400487507190263,0.5035425290140477,0.4890793691220354,0.1481791273598938,62.56578947368421,45.5,56.48971390446504,2.2171052631578947,1.0,2.157964937882493,24.00657894736842,17.0,22.2709087773733,1.90829361027536,1.7029756495187445,0.8358690090091379,149.3205303185466,102.0,134.95546450672234,9.891877005231809,5.977751196172249,17.444179928542674,9.248161897493956,5.0,17.591320154439078,1.483431720139237,1.5035039195699451,0.9022932720667468
Series027_H17,HELA,physegt_clsm_p3,95.0,468.6315789473685,276.0,587.7868043974981,0.7134703756018598,0.7232219365895458,0.0922122340281371,0.4891559442618022,0.48,0.1029016901248332,30.73016320374077,27.160078654837037,17.99057233010476,18.37379940380137,16.14259625808744,10.75107726489886,1.7865848676906364,1.6147758920239503,0.6113440790584722,2.4731854971066656,2.264162366707235,1.1467072216076444,28.3238854304348,16.28646337197616,33.57309376614841,79.25022645582965,46.10436703355839,102.0528418561658,79.25022645582965,46.10436703355839,102.0528418561658,0.7650246154997935,0.7851694501361405,0.1322642265214555,122.87388650630469,96.8111831820431,102.68204949246086,3.034787965658457,2.631604757622001,1.6273612638787136,0.4879853744839283,0.4744872173457521,0.1594142341466522,67.71578947368421,48.0,55.48990674611483,2.421052631578948,2.0,2.060040609555887,28.0,21.0,23.197549779868424,1.998427369046032,1.813513533627885,0.7559325279787978,169.74712066475357,122.0,138.6868881868256,7.901768218973677,5.92,13.23298503648148,7.231331191069372,5.0,13.33509375643713,1.5413708363141057,1.4981084481756568,0.7487624042588162
Series050-_H16,HELA,physegt_clsm_p3,184.0,726.3532608695652,307.5,1448.49488607636,0.7359072285273958,0.7502745541489779,0.0918485092483681,0.5131214617724403,0.5166557089634012,0.1002784350784032,34.17461139541647,27.370132436895645,23.08753860595203,20.88474303897571,16.25582112343148,16.45430340257492,1.8084448787636256,1.6442033189556475,0.6893908244116596,2.9582502952129297,2.3929493429001223,2.063601067492853,44.18228701675205,16.515734795113566,96.25807983025034,106.3086564318159,46.820804658358114,182.55644815156796,106.3086564318159,46.820804658358114,182.55644815156796,0.7564275976970741,0.7937805361343996,0.1598970527669258,138.9943566884191,100.7786976033153,136.61298363280233,2.933588920247104,2.545548397361381,1.3857191716642892,0.5086562774862126,0.5190209936884854,0.1658687584246587,69.96195652173913,55.0,51.61809663790257,2.277173913043478,2.0,1.795017455460093,25.89673913043478,22.0,20.408736146705905,2.002579269141642,1.8519046039344096,0.8152280250364212,164.03383305658252,128.5,121.9991981776141,12.160815256316075,6.065126050420168,23.97724081292276,11.474050447886851,5.0,24.15268453825478,1.6207606550806724,1.6086861328130406,0.8889380727455368
Series056_H15,HELA,physegt_clsm_p3,107.0,773.1308411214953,243.0,1860.6791096897236,0.7485370108540655,0.7576361221779548,0.080947717990554,0.5153582403886275,0.5113798008534851,0.0865363202726583,31.792299875771214,24.478202965799134,25.184815662798623,20.86985886776777,14.797636057860284,18.55694962579364,1.6333262699674411,1.5674632892691756,0.3982043836113969,2.8977072982200287,2.2678220926875694,2.147792981593922,48.74446178592426,13.68562705630543,112.91047322973432,102.81407946000684,37.44890127717861,225.8710716794028,102.81407946000684,37.44890127717861,225.8710716794028,0.7390979712387661,0.7700583396670055,0.1338302461502957,133.23784226139455,93.01219330881976,153.07750886682695,2.6915390122601,2.442754833549778,1.181067919773723,0.5393806609461825,0.5382759539428473,0.1451487308176642,62.78504672897196,45.0,49.65357146849817,2.0093457943925235,2.0,1.585538188665274,23.22429906542056,18.0,19.569816741922477,1.890301933492631,1.811149260929117,0.7453123413534213,147.2589484041391,110.0,117.2511951753947,12.315575431516466,5.942857142857143,25.54243861238122,11.637453077036264,5.0,25.71002140886423,1.5608850892895856,1.4336538361122284,1.025769770659545
Series061_H14,HELA,physegt_clsm_p3,117.0,626.7863247863248,187.0,1564.8356229944652,0.755618172125882,0.7777777777777778,0.089342691543371,0.5237118947060496,0.5285714285714286,0.0999380308638886,28.820186966628462,22.99176897195164,23.313311424888184,18.252755345887376,13.296241032559278,17.337572304485253,1.7245700563568185,1.5503484328314745,0.5713604902275645,2.656428975064076,2.131325939362433,2.049511460853603,39.60965569562964,11.049376599744564,106.4939150850906,85.88210414907769,33.03884002872487,182.3499887429144,85.88210414907769,33.03884002872487,182.3499887429144,0.7472636282466062,0.7641688170392757,0.1438845039106407,115.73064549082844,76.84062043356595,134.9432747509857,2.5834775370808694,2.239579257095813,1.2261419775247824,0.5369985918669066,0.5478857933925008,0.164724900675179,53.58119658119658,40.0,47.58765898273504,1.8376068376068373,1.0,1.6638810821929984,20.33333333333333,16.0,18.98807543030648,1.78700856643333,1.7094211096069822,0.7125092086709864,127.19677105673964,99.0,112.41556614213654,11.87880686152435,5.909090909090909,24.19059887152832,11.252326612295194,5.0,24.34577258850844,1.3162513370008029,1.2570787221094175,0.7252782150476736
Series066_H13,HELA,physegt_clsm_p3,327.0,361.1,163.5,689.2834564483129,0.720319234811671,0.7255136986301369,0.0928963214698787,0.485541544613997,0.4844877344877345,0.102318562968212,25.96680058365621,22.16162027384688,16.079954858462017,15.383555908718987,12.879823385493497,11.11940715781514,1.9317264454420944,1.6906130322943058,0.8123338652016661,2.173978829065048,1.7898841536588364,1.2355238468014071,22.518437996122096,10.368141050273614,41.48350021305931,58.30248005009654,30.696102157295705,99.05318211072417,58.30248005009654,30.696102157295705,99.05318211072417,0.7713022148397648,0.806303825959878,0.1558028558658873,97.28807050419886,74.46194077712559,83.38024491101406,2.74349000095755,2.460263135507933,1.3758828745995628,0.4770709817098785,0.4687638962388103,0.1756271365669626,51.56333333333333,36.0,43.55088199132392,1.8866666666666667,1.0,1.5320429352846334,20.95,15.5,18.08979915127123,1.793250733438465,1.623177972550103,0.7668504264799031,127.60771724418956,93.5,108.3905965559236,7.728243574130794,5.933760683760684,12.630591641453226,7.092717244189541,5.0,12.720460583223216,1.4642105341606817,1.3360670594161397,0.7957820072533957
Series073_H12,HELA,physegt_clsm_p3,129.0,801.4186046511628,218.0,2241.43966643283,0.7062881108202349,0.717366628830874,0.1010184637793794,0.4820918893385811,0.4888888888888889,0.1032167837804941,31.73537231735,24.417186037948024,28.91521545179373,19.975040056039045,14.161790600303352,19.753801272891973,1.7737765762259543,1.6364510347686063,0.6095987305822617,2.700405932098082,1.9754262531445224,2.3942652834349167,49.32593062307957,12.534769562927522,133.40297373993866,115.20147129652976,37.26243587573525,300.7870249670683,115.20147129652976,37.26243587573525,300.7870249670683,0.7512964678323084,0.791570021815463,0.1538559916061774,138.0188005717661,91.8111831820431,179.39662417959914,3.043481690431816,2.87563508857599,1.63855689038139,0.4941206540532244,0.502298943721722,0.1694364540320935,65.68217054263566,47.0,58.26589472677821,2.232558139534884,2.0,2.2011682166380706,23.8062015503876,17.0,21.959468484333044,1.9845077173534509,1.792703363715859,0.8695935374334396,151.43989460331372,113.0,131.94687718298977,13.265065711991722,5.944444444444445,29.632420274255185,12.649196928895137,5.0,29.785773642201196,1.4351350991378684,1.380316426584861,0.8136525808867123
Series080_H11,HELA,physegt_clsm_p3,331.0,396.11,228.0,461.5986112414118,0.7245208317681323,0.7300444477839687,0.0919564268830351,0.4937268211055996,0.4971620144069977,0.1001321974490739,27.987567957822844,24.556245053633297,15.250756328103693,16.8120056268025,15.037471930783733,10.43194871075714,1.862954467119697,1.64230275523163,0.7450719511331029,2.3205545004728525,1.9956260879417496,1.1154378172187422,24.46681794371915,14.132988825164468,30.251454055670905,63.49309554830917,37.68807678394889,69.66949601345536,63.49309554830917,37.68807678394889,69.66949601345536,0.7652420110226508,0.7932450416256838,0.1465408634935863,110.65184634496872,88.5685424949238,82.50427146636038,2.9588055797405204,2.6069414370627837,1.5204439181618172,0.4945771201267598,0.4995378513165085,0.1725621042752002,66.98,46.5,61.09113083473465,2.4166666666666665,2.0,2.1392496088322392,27.21333333333333,19.5,23.54147734437148,2.068111726257222,1.8767933697196888,0.9641098985615056,165.9112313947341,119.0,145.9671026852079,6.820605934423504,6.0,7.034502253994124,6.091231394734105,5.0,7.121704102729316,1.6265664883839277,1.5168313397644584,0.8547419195091235
